study_id,caso,meccanismo,motivo
GSE190405,A,altro,"Il riferimento aveva anche 'CD26 knockdown + LPS' vs 'CD26 knockdown', con la genetica su ENTRAMBI i bracci; ora resta solo 'LPS' vs 'PBS'. Coppia pulita persa."
GSE190496,C,altro,Due confronti ora contro tre nel riferimento (uno era il duplicato 'COVID-19 Lung Tissue' vs 'Healthy Normal Human Lung Tissue'): stessa coppia tessuto-tessuto.
GSE190634,C,il tempo o la dose vengono dichiarati o persi,Donatore 1 dichiarato sui due bracci in entrambe le esecuzioni; cambia solo la grafia.
GSE191231,B,lo studio entra o esce dal pooling,"ENTRATO con 'Olaparib-treated' contro 'Control', appaiato: il riferimento lasciava fuori uno studio valido."
GSE191248,C,solo la formulazione dell etichetta cambia,"Stesso contrasto in entrambe; la nuova espone eta' e sesso ('Age 66, Male' vs 'Age 47, Female'), la vecchia dice 'Healthy Control 3'. Con 3 trattati contro 11 controlli l'etichetta nuova e' un rappresentante: non basta a stabilire quale delle due descriva meglio il braccio."
GSE191279,B,l appaiamento del braccio di controllo cambia,"Nel riferimento questo studio era poolato SOLO sotto TGFB1; ora contribuisce anche il contrasto di malattia 'COPD, 7/13 days of culture' contro 'Healthy, 7/13 days of culture', appaiato sul giorno di coltura e sull'entita' del gruppo. E' un contrasto legittimo che il riferimento non raccoglieva. Dichiaro che gli 11 controlli 'Healthy, 13 days of culture' servono contemporaneamente questo gruppo e il gruppo TGFB1."
GSE192771,C,solo la formulazione dell etichetta cambia,"Sola riscrittura, con perdita della linea nell'etichetta nuova ('Sorafenib treated' vs 'DMSO control' contro 'Huh7 ... Sorafenib' vs 'Huh7 ... DMSO')."
GSE192903,C,solo la formulazione dell etichetta cambia,"Stesso contrasto, etichetta ora piu' ricca ('... for 24 hours' su entrambi i bracci)."
GSE193133,C,altro,Il genotipo CCAR2-/- del riferimento era su ENTRAMBI i lati e ora sparisce da entrambi: nessuna asimmetria leggibile in nessuna delle due versioni.
GSE193330,C,altro,"Stesse due coppie (bv-LoC e HuCCT1, infetto vs control) con punteggiatura diversa."
GSE193398,C,il tempo o la dose vengono dichiarati o persi,"Il riferimento aveva due dosi contro lo stesso 'Untreated', ora resta la sola dose 1uM: entrambi i confronti erano puliti, differenza di copertura."
GSE193414,C,lo studio entra o esce dal pooling,ENTRATO. 'PMA/Ionomycin treated chondrocytes from osteochondroma' vs 'Unstimulated chondrocytes from osteochondroma' e' appaiato sul materiale e difendibile; il riferimento non offre etichetta per giudicare l'esclusione precedente.
GSE193660,C,solo la formulazione dell etichetta cambia,'NaHS Treated' vs 'Control' contro 'NaHS-treated' vs 'Control (vehicle)'. Stesso contrasto; il nuovo perde solo la qualifica 'vehicle' sul controllo.
GSE193677,A,lo studio entra o esce dal pooling,ENTRATO portando dentro la discordanza di sede (right colon contro transverse colon) che il riferimento non poolava affatto.
GSE193812,C,l appaiamento del braccio di controllo cambia,"Il nuovo tiene solo la coppia ASC e perde quella sul tessuto adiposo, entrambe appaiate. Perdita di copertura."
GSE193897,C,l appaiamento del braccio di controllo cambia,"Riferimento otto confronti, ora sette (manca la dose 500nM); in entrambe ogni braccio trattato e' appaiato al controllo della PROPRIA linea. Differenza di copertura."
GSE194179,C,altro,Le due esecuzioni hanno gli stessi due confronti a meno delle maiuscole; anche il sospetto dHepaRG/HepaRG e' identico in entrambe.
GSE194374,B,lo studio entra o esce dal pooling,"Entrato con tre confronti tutti appaiati sul fondo (A673 con A673, U2OS EWS-FLI1 con U2OS EWS-FLI1). Il riferimento non lo poolava affatto."
GSE195568,A,cambia quali confronti dello studio sopravvivono,"Il riferimento aveva due confronti appaiati per linea (NCI-H2452 e NCI-H28, dose e tempo dichiarati su entrambi i bracci); ora resta il solo NCI-H28. Verificato nel registro degli scarti: 'grp_NCIH2452_palbociclib' cade per n_min con n_treated=1. La perdita e' meccanica ma reale: il vecchio azzeccava su piu' materiale."
GSE195663,A,lo studio entra o esce dal pooling,"USCITO. Nel riferimento portava ""DMS53 + cisplatin 50nM"" vs ""DMS53 + untreated"", appaiato sulla stessa linea: uno studio pulito perso senza motivo leggibile."
GSE195919,B,altro,"Nel riferimento era in questo gruppo con due confronti difettosi: ""8 Gy radiation + LCL-521, radiation induced PGCC"" contro ""Untreated, parental/mitotic"" ha un secondo agente (LCL-521) solo nel trattato, e in entrambi il trattato e' una popolazione selezionata (PGCC) contro cellule parentali/mitotiche, cioe' materiale diverso. La sua uscita toglie difetti leggibili."
GSE196195,C,lo studio entra o esce dal pooling,"Studio ENTRATO: prima non era poolato, ora entra con ""IL-1B Stimulated (Female Donor)"" contro ""Vehicle Control (Donor 2, Replicate 1)"". Non seguo il lettore che chiama A: perche' fosse A il confronto nuovo dovrebbe essere sbagliato, e l'etichetta non lo prova (vedi motivo del gruppo). L'etichetta sorgente e' ambigua, quindi C, con la riserva dichiarata."
GSE196243,C,altro,Il riferimento aveva una coppia pulita (HC vs HC) E una asimmetrica (NDAS vs Untreated); il nuovo tiene una sola coppia asimmetrica (IIU040 vs Untreated). E' perdita di copertura: la forma asimmetrica esisteva gia' nel vecchio run.
GSE196343,B,lo studio entra o esce dal pooling,"ENTRATO con 'Metformin-treated C4-2 cells (replicates)' contro 'PBS-treated C4-2 cells (replicates)': stessa linea, controllo veicolo."
GSE196387,A,lo studio entra o esce dal pooling,USCITO: 'Obese' vs 'Healthy' era un caso-controllo pulito; ora non e' poolato.
GSE196453,B,il tempo o la dose vengono dichiarati o persi,"Stessa forma: ""Radiation-induced PGCC (short duration)"" e ""Early progeny of PGCC (radiation)"" contro ""Parent/mitotic (control)"" - popolazione selezionata contro popolazione parentale, non irraggiato contro non irraggiato dello stesso materiale. Uscendo, il nuovo migliora la coerenza del gruppo."
GSE196464,A,lo studio entra o esce dal pooling,"USCITO: erano 'SARS-CoV-2 1 DPI' vs 'Mock 1 DPI' e '3 DPI' vs 'Mock 3 DPI', appaiati per tempo. Persi."
GSE196656,C,solo la formulazione dell etichetta cambia,"Stesso contrasto, cambia solo la forma («Heart Failure Patients» → «Heart failure patient (age 82)»)."
GSE196724,C,il tipo di controllo e stato normalizzato diversamente,"Donatore e vaso appaiati in entrambe; cambia solo il tipo di controllo scritto ('Vehicle Control' contro 'No Treatment'), che ricade nella stessa classe di controllo del gruppo."
GSE197132,B,lo studio entra o esce dal pooling,"ENTRATO. 'TGF-β1' contro 'control': confronto pulito e sull'entita' del gruppo, che il riferimento non poolava in nessuna meta-analisi."
GSE197143,B,lo studio cambia gruppo / entita,"USCITO: era 'Influenza B 48hpi' vs 'Mock 48hpi' dentro un gruppo la cui entita' dichiarata e' NCBITaxon:11320, Influenza A virus. Il confronto isolava un'entita' diversa: il nuovo fa bene a toglierlo."
GSE197243,C,altro,Il riferimento aveva il solo fondo TRPM2 knockout; ora c'e' anche il parentale. In entrambi i confronti nuovi il genotipo e' costante sui due bracci.
GSE197302,C,lo studio cambia gruppo / entita,"SPOSTATO. Nel riferimento era sotto HGNC:5438 col braccio IFN-gamma contro lo stesso 'BM-MSC + Vehicle'; ora e' qui col braccio clorochina. Sono due bracci DIVERSI dello stesso studio, ciascuno coerente con la propria chiave: entrambe corrette."
GSE197525,A,l appaiamento del braccio di controllo cambia,"Il riferimento aveva due coppie pulite (KO e TERT, ipossia contro normossia); ora resta solo TERT. Perdita di un appaiamento corretto senza nulla in cambio."
GSE197602,A,lo studio entra o esce dal pooling,"USCITO: nel riferimento portava 'SUM159 cells treated with Palbociclib' vs 'Untreated SUM159 cells', appaiato sulla stessa linea; ora lo studio ha 5 gruppi tutti scartati per n_min. Il nuovo perde un contrasto corretto."
GSE198000,A,cambia quali confronti dello studio sopravvivono,"Il riferimento aveva sette coppie appaiate per linea, dose e tempo; ora ne restano sei (manca KP-MRT-NS 0.003 uM 24 ore). Nessun difetto corretto, un confronto pulito in meno."
GSE198449,C,lo studio entra o esce dal pooling,USCITO: dodici righe con etichette identiche fra loro ('SARS-CoV-2 Later Surveillance' vs 'Vehicle Control Later Surveillance'). Il tipo di contrasto e' giusto ma le etichette non distinguono i dodici confronti: non si puo' dire se poolarli fosse corretto o pseudo-replicazione.
GSE198460,B,lo studio entra o esce dal pooling,"ENTRATO: nel riferimento non era poolato, ora 'PDX Cell Lines IFNg' → 'PDX Cell Lines Untreated', appaiato e con l'entita' giusta."
GSE198670,C,lo studio entra o esce dal pooling,"Il riferimento aveva anche '786-O DAC Day23' contro '786-O untreated', pulito, che ora non e' poolato; i due confronti rimasti sono identici nei due run e l'etichetta non dice perche' il Day23 sia caduto."
GSE198683,A,il tempo o la dose vengono dichiarati o persi,"Il nuovo INTRODUCE il disallineamento di donatore «Dexamethasone (DonorID 3)» vs «Control (DonorID 1)»; nel riferimento la coppia era «Dexamethasone (DonorID 1)» vs «Control», senza mismatch leggibile."
GSE198963,C,l appaiamento del braccio di controllo cambia,"In entrambe eta', sesso e fondo genetico sono appaiati fra i bracci: sono soggetti diversi dello stesso studio, entrambe difendibili."
GSE199225,C,il tempo o la dose vengono dichiarati o persi,"CORREGGO IL LETTORE (rilievo del critico A accolto): non e' un caso A. Il confronto pulito del riferimento ('PCOS, tgfb' contro 'PCOS, no treatment') e' ancora qui intatto come 'PCOS TGFB iHP10' contro 'PCOS no treatment iHP10' (5 vs 5); il nuovo run ne aggiunge uno pulito ('CTRL noEPS TGFB LC2' contro 'CTRL noEPS LC2', marcatore su entrambi i bracci) E uno difettoso (EPS solo nel trattato). Il bilancio e' +1 pulito e +1 difettoso: nessuna delle due assegnazioni domina l'altra e l'etichetta non decide. Il difetto EPS resta contato nel gruppo."
GSE199367,A,l appaiamento del braccio di controllo cambia,"Da cinque coppie tutte appaiate per tempo e donatore (12H/6H/2H, Donor_1 e Donor_2) a due. Coppie pulite perse."
GSE199800,A,lo studio entra o esce dal pooling,"USCITO verso sei altre entita'. L'etichetta del riferimento, 'DU145_Methotrexate_0.01_24h' contro 'DU145_UNTREATED', e' un contrasto di metotressato appaiato per linea: quel braccio apparteneva a questo gruppo."
GSE199811,B,lo studio entra o esce dal pooling,"ENTRATO: 'GSK343' vs 'DMSO', farmaco contro il proprio veicolo; nel riferimento non era poolato."
GSE199868,C,l appaiamento del braccio di controllo cambia,Le due esecuzioni portano lo stesso tessuto appaiato e le stesse eta' stampate (58 contro 29): differiscono solo nella grafia.
GSE199906,A,lo studio entra o esce dal pooling,"Uscito. Nel riferimento ""Crohn's Disease"" contro ""Healthy Control"": perdita netta."
GSE200020,C,il tempo o la dose vengono dichiarati o persi,"Correggo il lettore, che aveva detto A. Fra le due esecuzioni cambia solo l'attributo stampato del controllo ('Age 67' contro 'Age 29, M') a parita' di studio: poiche' la parentesi segue il rappresentante estratto e non il braccio (n=3 controlli), l'etichetta non permette di dire quale delle due assegnazioni sia migliore."
GSE200029,C,solo la formulazione dell etichetta cambia,"'T47D, Breast cancer, 4-OHT, 120h' vs '..., DMSO, 120h' contro 'T47D + 4-OHT' vs 'T47D + DMSO'. Stesso contrasto; il nuovo dichiara in piu' il tempo su entrambi i bracci."
GSE200209,B,lo studio entra o esce dal pooling,"Non era poolato nel riferimento; entra con ""Fluoxetine 20uM"" vs ""Control"", senza difetti leggibili sull'etichetta."
GSE201021,A,lo studio entra o esce dal pooling,USCITO: 'Nutlin P53KO' vs 'DMSO P53KO' aveva il genotipo appaiato sui due bracci; ora non e' poolata.
GSE201093,B,lo studio entra o esce dal pooling,ENTRATO con appaiamento pulito sulla stessa linea (`ML-DS2_ruxolitinib` → `ML-DS2_DMSO`).
GSE201955,A,l appaiamento del braccio di controllo cambia,"Correggo il lettore, che dava C accogliendo il critico A: ""Asthma (Age: 49, Sex: F, Ancestry: African American)"" vs ""Control (Age: 37, Sex: M, Ancestry: African American)"" e' un caso-controllo con l'ancestry appaiata; eta' e sesso diversi sono obbligatori nel disegno. Il vecchio azzeccava, il nuovo perde un confronto pulito."
GSE202045,C,l appaiamento del braccio di controllo cambia,"Ora 2 confronti su epatociti primari (6h e 24h), prima 3 (in piu' HepG2 a 24h). Tutti appaiati per materiale e tempo."
GSE202436,C,l appaiamento del braccio di controllo cambia,Le 8 coppie appaiate per tempo ci sono in entrambe; il nuovo toglie il lato del polmone dall'etichetta producendo quattro coppie indistinguibili. Contrasto invariato.
GSE202682,C,altro,"Il nuovo raddoppia la stessa coppia «Docetaxel Treated» vs «Control (Vehicle)»: contrasto identico, cambia il numero di entry e quindi il peso."
GSE202714,C,l appaiamento del braccio di controllo cambia,"Stessi due confronti appaiati per eta' del tessuto (Adult con Adult, Fetal con Fetal); l'etichetta si accorcia soltanto."
GSE202866,C,altro,"Il controllo passa da 'Vehicle Control 1' a 'Vehicle Control 2'. Sono due controlli veicolo dello stesso studio, cioe' controlli dello stesso tipo: entrambe le assegnazioni sono pulite e l'etichetta non dice quale sia il compagno canonico."
GSE202885,C,l appaiamento del braccio di controllo cambia,"Il riferimento poolava tre bracci (24h, 96h, long-term) tutti contro lo STESSO `16D CRPC + DMSO` senza tempo dichiarato; ora resta `Enzalutamide 24h` → `DMSO 24h`, appaiato nel tempo ma con meno potenza. L'etichetta non decide quale assegnazione sia preferibile."
GSE202963,A,lo studio entra o esce dal pooling,"USCITO: era 'Airway Organoids SARS-CoV-2 MOI=1 48h' vs 'Airway Organoids Mock', appaiato sul materiale. Perso."
GSE203174,B,lo studio entra o esce dal pooling,"ENTRATO con ""Medulloblastoma C17466""/""C138498"" contro ""Normal Cerebellum A508112"": stessa sede sui due bracci, caso-controllo pulito che il riferimento non poolava."
GSE203206,C,l appaiamento del braccio di controllo cambia,"Tre confronti in entrambe, stesso controllo (Subject 4870), casi in parte diversi. Il nuovo dichiara in piu' la sede su entrambi i bracci ('Occipital Lobe'), il vecchio non la dichiarava su nessuno dei due: nessuna delle due e' contraddetta dall'etichetta."
GSE203395,C,il tempo o la dose vengono dichiarati o persi,"Correggo il lettore (diceva B). Il riferimento non e' smentito dall'etichetta: il suo confronto piu' esteso scrive 'M.tb-uninfected, CMV-infected, D-7, 7 days, BCG vaccinated' contro 'M.tb-uninfected, D-7, 7 days, BCG vaccinated', cioe' lo stato M.tb costante sui due bracci. La nuova ('CMV infected, BCG vaccinated' vs 'Control, BCG vaccinated') e' piu' compatta ma non piu' corretta."
GSE204825,C,l appaiamento del braccio di controllo cambia,"Stessa situazione su PDX multi-farmaco: nel riferimento ""BTY10 Dasatinib"" vs ""BTY10 Vehicle"" sotto dasatinib, ora ""BTY10 Paclitaxel"" vs ""BTY10 Vehicle"" sotto paclitaxel. Bracci diversi, entrambi appaiati al proprio veicolo."
GSE204868,C,solo la formulazione dell etichetta cambia,"'TGF-beta' contro 'control' ora, 'TGF-beta (triplicate)' contro 'Control (triplicate)' nel riferimento: stesso contrasto."
GSE204929,B,lo studio entra o esce dal pooling,ENTRATO con appaiamento pulito sul medesimo fondo genetico (siYWHAG su entrambi i bracci).
GSE205261,C,solo la formulazione dell etichetta cambia,"Stesso confronto, controllo riscritto: ""DMSO-treated NCI-H295R cells (two replicates)"" contro ""Vehicle control (DMSO) NCI-H295R cells"". Entrambe appaiate alla stessa linea."
GSE205567,B,lo studio entra o esce dal pooling,"ENTRATO con 'HBV Mono-Infection' vs 'Mock Infection', coerente col contrasto sperimentale del gruppo; nel riferimento non era poolato."
GSE205621,C,cambia la granularita: etichetta piu ricca o piu povera,"Sei confronti in entrambe, stesse varianti e stessi tempi contro 'Mock 24h'/'Mock 48h'; il nuovo aggiunge solo il prefisso 'A549-ACE cells'."
GSE205668,C,l appaiamento del braccio di controllo cambia,Entrambe le esecuzioni contengono una coppia con eta' incompatibili (ora 18.44 contro 0.50; nel riferimento 18 contro 13 e 14 contro 0.5). Il nuovo appaia bene l'altra coppia (12.85 contro 12.72) dove il riferimento non la appaiava: nessuna delle due esecuzioni e' pulita e non c'e' motivo per preferirne una.
GSE205726,C,solo la formulazione dell etichetta cambia,Solo formulazione (`MDA-MB-231 + YAP+TAZ siRNA` contro `... (duplicate)`) verso lo stesso `MDA-MB-231 + control siRNA`.
GSE205729,A,altro,"Era in questo gruppo con ""Ipatasertib"" vs ""DMSO"", coppia senza difetti leggibili, e ora non e' poolato in nessuna meta-analisi: il nuovo perde uno studio che il vecchio classificava bene (e che ha etichette identiche a GSE205730, rimasto dentro)."
GSE205787,C,il tempo o la dose vengono dichiarati o persi,"Quattro confronti in entrambe le esecuzioni e in entrambe compare il braccio di tessuto intero contro sferoidi normali: lo stesso difetto prima e dopo, nessuna delle due assegnazioni e' migliore."
GSE205851,C,altro,"Il nuovo pool a due entry con etichette identiche (""IL1Beta 4h"" vs ""Untreated"", 2 vs 4 in entrambe) dove il riferimento ne aveva una. Le etichette non dicono cosa distingua le due entry: non si puo' stabilire se sia un guadagno o un doppio conteggio."
GSE205853,C,altro,Due confronti in entrambe le esecuzioni con le stesse etichette: il difetto — citochina sbagliata e due agenti insieme — e' identico nelle due letture.
GSE205890,C,l appaiamento del braccio di controllo cambia,"Stesse due coppie appaiate per linea (H1, H9), cambia solo la grafia."
GSE206130,B,l appaiamento del braccio di controllo cambia,"Il riferimento aveva un solo confronto; ora quattro, ciascuno con il controllo della PROPRIA linea (HDML-2, KARPAS 1106P, L-428, cellule primarie): guadagno di confronti appaiati."
GSE206257,C,solo la formulazione dell etichetta cambia,'Wild-type GIST430/654 cells treated with palbociclib' vs '... treated with DMSO' e 'GIST430/654 WT + palbociclib' vs 'GIST430/654 WT + DMSO' sono la stessa coppia riscritta.
GSE206267,B,l appaiamento del braccio di controllo cambia,Ora due coppie appaiate per linea (KP4 e MiaPaca2); il riferimento aveva solo MiaPaca2.
GSE206308,C,solo la formulazione dell etichetta cambia,Stesso contrasto; sparisce '(triplicate)' da entrambi i bracci.
GSE206428,C,solo la formulazione dell etichetta cambia,"""786-0 cells treated with Pevonedistat"" vs ""Untreated 786-0 cells"" e' la riscrittura di ""786-0 Kidney Cells Treated with Pevonedistat"" vs ""Untreated 786-0 Kidney Cells"": stesso contrasto."
GSE206649,B,lo studio entra o esce dal pooling,"USCITO, e bene: il confronto del riferimento era ""A2780/CDDP treated with cisplatin"" vs ""A2780 untreated"", linea RESISTENTE trattata contro linea PARENTALE non trattata."
GSE206677,A,lo studio entra o esce dal pooling,"USCITO: era 'SARS-CoV-2 infection 72hpi' vs 'Control', nessun difetto leggibile. Perso."
GSE206742,C,altro,"Il riferimento diceva `PMA` → `DMSO`, ora `PMA + shUHRF1` → `DMSO + shUHRF1`: e' la stessa coppia col fondo genetico esplicitato su entrambi i bracci, nessuna delle due mostra un difetto."
GSE206784,C,l appaiamento del braccio di controllo cambia,"Stesso confronto; il riferimento dichiarava dose e tempo ('IFN alpha 100 microg/mL 24h' contro 'no treatment 24h'), il nuovo no. Genotipo NINL KO appaiato in entrambi."
GSE207409,C,il tempo o la dose vengono dichiarati o persi,"Il nuovo pool a 1h e 3h, il riferimento 1h e 6h, tutti contro un «Vehicle» che non dichiara tempo: l'etichetta non permette di scegliere."
GSE207645,B,lo studio entra o esce dal pooling,ENTRATO con 'Trametinib' vs 'DMSO'; il riferimento non lo poolava.
GSE208107,B,lo studio cambia gruppo / entita,"Spostato da 'STR:adenoma' (ombrella senza organo, che accorpa adenomi di sedi diverse) a MeSH:D010911 Pituitary Neoplasms. Il confronto e' pulito in entrambe, ma la chiave nuova e' quella che l'etichetta sostiene ('Pituitary cells from Adenoma patients' contro 'Pituitary cells from Healthy donors')."
GSE208331,A,lo studio entra o esce dal pooling,"USCITO: nel riferimento portava `PM2.5` → `Control sample`, identico per forma agli altri tre confronti del gruppo e senza difetto leggibile; ora non e' poolato in nessuna meta-analisi. Il nuovo perde un membro pulito (4 studi → 3) e il materiale non dice perche'."
GSE208405,C,il tempo o la dose vengono dichiarati o persi,"Correggo il lettore (diceva B). 'Atopic Dermatitis Ciclosporin Treated' vs 'Atopic Dermatitis Before Dupilumab Treatment' e' cute atopica trattata contro cute atopica non ancora trattata: il controllo non nomina alcun agente somministrato, quindi non e' dimostrato che il riferimento sbagliasse. Che il controllo sia definito dall'appartenenza al programma dupilumab resta un sospetto, non un difetto."
GSE208550,A,lo studio entra o esce dal pooling,USCITO: 'LPS-treated EA.hy926' vs 'Control EA.hy926' era appaiata per linea; ora non e' poolata.
GSE208774,C,l appaiamento del braccio di controllo cambia,"Ora un solo confronto ('BRD4-NUTM1_ABBV075_96h' vs 'BRD4-NUTM1_DMSO_96h'), prima quattro: le due linee BRD4-NUTM1 e PER403 a 6h e 96h, ciascuna contro il proprio DMSO. Tutti appaiati sulla linea in entrambe le esecuzioni; il nuovo perde tre confronti puliti, cioe' potenza e non correttezza (e con essi il doppio uso dello stesso DMSO per due tempi)."
GSE209582,C,lo studio entra o esce dal pooling,"ENTRATO. 'TE11 + Chloroquine (10 uM)' vs 'TE11 + DMSO (0.1%)' e' appaiato e difendibile, ma il riferimento non fornisce etichetta: non posso giudicare la vecchia esclusione."
GSE209769,C,lo studio cambia gruppo / entita,"SPOSTATO. Nel riferimento era sotto la chiave del cisplatino col confronto cisplatino; ora e' qui col confronto vemurafenib. Sono due bracci DIVERSI dello stesso studio, ciascuno coerente con la propria chiave: entrambe le assegnazioni sono corrette."
GSE210101,C,solo la formulazione dell etichetta cambia,Stesso contrasto col fondo NEUROD1 KO su entrambi i bracci; cambia la sola punteggiatura.
GSE210196,B,l appaiamento del braccio di controllo cambia,"Guadagno di copertura reale su SY01 ('SY01 + JQ1' vs 'SY01 + DMSO'), che il riferimento non poolava. Con la riserva che le due voci SY01 sono identiche parola per parola e condividono lo stesso controllo n=3: e' una coppia nuova, contata due volte."
GSE210351,C,lo studio entra o esce dal pooling,"ENTRATO. Il riferimento non ha etichetta per questo studio, quindi non posso stabilire quale delle due scelte sia la giusta; sul confronto nuovo resta aperta la questione del comparto dichiarato solo sul controllo."
GSE210522,C,l appaiamento del braccio di controllo cambia,"Il nuovo tiene solo la coppia Eahy926 e perde quella TeloHAEC, entrambe appaiate. Perdita di copertura."
GSE210693,C,il tempo o la dose vengono dichiarati o persi,"Stessa coppia senza la dose: ""HT-1197 + rosiglitazone"" vs ""HT-1197 + DMSO"" contro ""HT-1197 + rosiglitazone (500 nM)"" vs ""HT-1197 + DMSO""."
GSE210765,C,solo la formulazione dell etichetta cambia,"Stesso confronto, controllo riscritto da 'Vehicle Control' a 'Control (EtOH)'."
GSE210787,C,altro,"Il riferimento aveva un confronto, ora due stratificati per eta' contro lo stesso 'Normal Tissue': in un caso-controllo i soggetti diversi sono il disegno."
GSE210984,B,l appaiamento del braccio di controllo cambia,Il riferimento aveva TRE confronti tutti con materiale disallineato (iPSC-derived contro Primary). Ora ne resta uno disallineato ma se ne aggiunge uno correttamente appaiato ('MSC Primary Culture TGF-β 14 days' contro 'MSC Primary Culture Vehicle Only'). Il nuovo run migliora senza chiudere il difetto.
GSE210989,C,altro,"Il controllo passa da 'Vehicle-only MRC5 cells for 48 hours' a 'MRC5 cells mock-treated for 48 hours': stesso braccio non infettato, l'etichetta nuova e' piu' appropriata per un'infezione ma la vecchia non descrive un braccio diverso."
GSE211244,C,lo studio cambia gruppo / entita,"SPOSTATO: studio a piu' bracci con controllo comune «HCT116_DMSO». Il riferimento ne poolava i bracci nutlin-3a e tunicamicina sotto le rispettive chiavi, il nuovo il braccio etoposide. Ciascuna assegnazione e' corretta per il braccio che pool a."
GSE211439,C,altro,«TNF-alpha-stimulated HBMEC» vs «Media control HBMEC»: identico al riferimento a meno del participio.
GSE211468,C,il tempo o la dose vengono dichiarati o persi,"CORREGGO il lettore (che diceva B): l'etichetta 'JQ1 5 days, 4 hours' vs 'DMSO 4 hours' NON prova tempi disallineati — '4 hours' sta su tutti e due i bracci, e nello stesso gruppo il lettore accetta come pulito 'Colon Organoid Polyp JQ1 500 nM 24h' contro un controllo senza alcun tempo. Cosa significhi '5 days' accanto a '4 hours' l'etichetta non lo dice: non e' un guadagno, ed e' indecidibile se sia una perdita netta."
GSE211611,C,altro,"Stesse due coppie; nel riferimento la seconda portava ""(additional)"". Differenza di sola etichetta."
GSE211854,B,l appaiamento del braccio di controllo cambia,"Il riferimento poolava 'NSCLC_cIGF1R_Osimertinib_500nM_8days' vs 'NSCLC_DMSO+EV_8days', dove cambiano DUE cose (farmaco e costrutto cIGF1R contro vettore vuoto): difetto vero, ora eliminato. L'altra riga del riferimento non era invece un difetto (H1975 e' una linea NSCLC, tempo appaiato)."
GSE212613,C,solo la formulazione dell etichetta cambia,"Stesso contrasto e stesso protocollo dichiarato su tutti e due i bracci in entrambe le esecuzioni: ora 'Ankylosing Spondylitis Day 10 Adipogenic Differentiation' vs 'Healthy Donor 2 Day 10 Adipogenic Differentiation', prima 'Ankylosing Spondylitis Patients - Adipogenic Differentiation Day 10' vs 'Healthy Donors - Adipogenic Differentiation Day 10'. Il nuovo dichiara in piu' che il controllo e' un singolo donatore, il vecchio diceva 'Healthy Donors' al plurale: nessuna delle due sbaglia l'appaiamento."
GSE213102,B,l appaiamento del braccio di controllo cambia,"Da 3 a 4 confronti: entra ""3B1A Cisplatin"" vs ""3B1A Control"", appaiato come gli altri tre. Nessun difetto introdotto."
GSE213245,C,l appaiamento del braccio di controllo cambia,"Nel riferimento le due coppie mostravano un tempo scompagnato ESPLICITO ('BMP4 day 90-120' contro 'Control day 61-91') su entrambe; nel nuovo il controllo perde la data e i bracci poolati cambiano (entrano due trattati 'day 61-91', che contro un controllo di quella finestra sarebbero appaiati, e resta un 'day 90-120'). Il nuovo potrebbe quindi essere migliore su due confronti e uguale sul terzo, oppure semplicemente meno leggibile: le etichette non permettono di stabilirlo."
GSE213465,C,solo la formulazione dell etichetta cambia,Riscrittura che anzi esplicita il sottotipo NK sui due bracci.
GSE213521,C,solo la formulazione dell etichetta cambia,Sola riformulazione: 'PMA/ionomycin-treated PLZF+CD4+ T cells' vs 'Untreated PLZF+CD4+ T cells' contro 'PLZF+CD4+ T cells (PMA/ionomycin)' vs 'PLZF+CD4+ T cells (unstimulated)'.
GSE213691,A,altro,"Nel riferimento lo studio portava un solo confronto, pulito ('PGE2' → 'Vehicle control 2'); il nuovo ne aggiunge uno con il co-trattamento nel solo trattato. Il nuovo sbaglia dove il vecchio azzeccava."
GSE213759,B,lo studio entra o esce dal pooling,"ENTRATO con ""Calu3 Poly I:C 10h"" contro ""Calu3 Mock 10h"": appaiato per linea e tempo, il riferimento non lo poolava."
GSE214052,B,altro,"Il riferimento poolava anche ""MCF7 RELA KO2 Fulvestrant"" contro ""MCF7 RELA KO1 DMSO 6h"" — clone KO2 trattato contro controllo KO1, genotipo diverso fra i bracci. Il nuovo lo elimina e tiene solo KO1/KO1 e wildtype/wildtype."
GSE214475,A,lo studio entra o esce dal pooling,"Uscito. Nel riferimento 'CD4+ T-cell, IL1A' → 'CD4+ T-cell, vehicle': entita' giusta, materiale identico sui due bracci, nessun difetto leggibile. Il nuovo perde l'unico confronto che nominava IL1A senza ambiguita'."
GSE214715,A,lo studio entra o esce dal pooling,"Uscito. Nel riferimento due confronti esemplari ('CUTO28 (TPM3-ROS1) + crizotinib'→'CUTO28 (TPM3-ROS1) + none', 'CUTO37 (CD74-ROS1) + crizotinib'→'CUTO37 (CD74-ROS1) + none'); ora non poolato. Perdita senza difetto leggibile."
GSE215039,C,l appaiamento del braccio di controllo cambia,Il nuovo sostituisce la coppia OA con una seconda replica non-OA; lo stato OA/non-OA resta appaiato sui due bracci in entrambe.
GSE215254,B,lo studio entra o esce dal pooling,"ENTRATO con confronti appaiati anche sul tempo (""Cisplatin 3D 48h"" vs ""Vehicle 3D 48h""). Riserva dichiarata: la coppia a 4h compare due volte con gli stessi conteggi, quindi lo stesso contrasto entra due volte nel pool."
GSE215275,C,solo la formulazione dell etichetta cambia,Sola riscrittura («stimulated with» → «treated with»); il soggetto resta dichiarato solo sul trattato in entrambe.
